time,pos_x,pos_y,twist_x,twist_y,twist_z
1627328902.287603855,0.000000000,0.000000000,11.575200000,-3.346500000,0.000000000
1627328902.287617445,0.000000000,0.000000000,11.577100000,-3.338400000,0.000000000
1627328902.287646532,0.000000000,0.000000000,11.579100000,-3.328800000,0.000000000
1627328902.287673235,0.000000000,0.000000000,11.581000000,-3.317000000,0.000000000
1627328902.290677071,0.000000000,0.000000000,11.581700000,-3.306100000,0.000000000
1627328902.300790071,0.000000000,0.000000000,11.583100000,-3.293000000,0.000000000
1627328902.343588591,0.000000000,0.000000000,11.585200000,-3.281500000,0.000000000
1627328902.343600273,0.000000000,0.000000000,11.588700000,-3.269300000,0.000000000
1627328902.343611240,0.000000000,0.000000000,11.593000000,-3.256600000,0.000000000
1627328902.343624115,0.000000000,0.000000000,11.595000000,-3.244900000,0.000000000
1627328902.387604237,0.000000000,0.000000000,11.595800000,-3.233500000,0.000000000
1627328902.387623549,0.000000000,0.000000000,11.596200000,-3.221800000,0.000000000
1627328902.387635708,0.000000000,0.000000000,11.598000000,-3.211800000,0.000000000
1627328902.387648582,0.000000000,0.000000000,11.601800000,-3.200400000,0.000000000
1627328902.431588411,0.000000000,0.000000000,11.601000000,-3.188100000,0.000000000
1627328902.431597233,0.000000000,0.000000000,11.602200000,-3.180700000,0.000000000
1627328902.431606531,0.000000000,0.000000000,11.601200000,-3.171000000,0.000000000
1627328902.431613922,0.000000000,0.000000000,11.602400000,-3.159300000,0.000000000
1627328902.431621313,0.000000000,0.000000000,11.603800000,-3.150000000,0.000000000
1627328902.475588322,0.000000000,0.000000000,11.604900000,-3.140800000,0.000000000
1627328902.475615978,0.000000000,0.000000000,11.606700000,-3.131200000,0.000000000
1627328902.475632906,0.000000000,0.000000000,11.607600000,-3.121300000,0.000000000
1627328902.475641966,0.000000000,0.000000000,11.608700000,-3.111300000,0.000000000
1627328902.480696440,0.000000000,0.000000000,11.608500000,-3.101000000,0.000000000
1627328902.490815163,0.000000000,0.000000000,11.609200000,-3.094300000,0.000000000
1627328902.531617403,0.000000000,0.000000000,11.609600000,-3.086200000,0.000000000
1627328902.531645536,0.000000000,0.000000000,11.609800000,-3.075600000,0.000000000
1627328902.531656265,0.000000000,0.000000000,11.609900000,-3.066600000,0.000000000
1627328902.531664371,0.000000000,0.000000000,11.609100000,-3.057200000,0.000000000
1627328902.579594374,0.000000000,0.000000000,11.607500000,-3.045900000,0.000000000
1627328902.579607487,0.000000000,0.000000000,11.610500000,-3.039200000,0.000000000
1627328902.579618692,0.000000000,0.000000000,11.613700000,-3.032700000,0.000000000
1627328902.579628229,0.000000000,0.000000000,11.615800000,-3.025200000,0.000000000
1627328902.623599768,0.000000000,0.000000000,11.615000000,-3.018200000,0.000000000
1627328902.623617411,0.000000000,0.000000000,11.613700000,-3.009200000,0.000000000
